theta_z(twist)(deg), theta_y (lean FB)(deg), theta_x (lean LR)(deg)
-49.7992772380958,-0.475315316852531,2.52553685178341
-51.4221524602221,-0.503533690895351,2.48563878637711
-52.8397757114779,-0.5323281273423,2.4598552882845
-54.1641729403166,-0.560968528014766,2.42938938623133
-55.4449117999399,-0.58532890375657,2.4184628310964
-56.750466992784,-0.594568839154117,2.41939169985895
-57.9916377920687,-0.582276272754995,2.44541569936537
-59.4837365523893,-0.548728888854925,2.4833054439121
-60.8691502221636,-0.505874616382226,2.5268946787316
-62.1140228832783,-0.477008800662382,2.556282133466
-63.1999732572137,-0.454323159338148,2.6017132823084
-64.2744990468526,-0.422440495093687,2.66574132015846
-65.0596113778425,-0.412939634951335,2.73109096661736
-65.2371990225717,-0.400820110971755,2.78796676306231
-64.9492334385858,-0.398152835166163,2.86583871675577
-63.7593206141068,-0.384158786611059,2.87548741161274
-62.1438608789709,-0.373780038486125,2.86640684866514
-59.7367343022552,-0.385248336030152,2.83812340299667
-56.2406469997266,-0.425498665664711,2.71386796669534
-52.6732646672135,-0.439894772419677,2.63236162492123
-48.7715731015477,-0.468285169786053,2.57538025465395
-44.5617646366385,-0.538809195037407,2.47980389910619
-40.5283629599107,-0.575207542571997,2.44060764747905
-37.0221276258255,-0.577584540361111,2.44269250696881
-33.7333020477898,-0.548385329090617,2.43714214421812
-30.4658582353185,-0.503206230152798,2.44626520915599
-27.205250330068,-0.4194510540974,2.47522357366357
-23.8438027613957,-0.302632059500858,2.53288145661037
-20.4797366569529,-0.172658477756033,2.50979314511808
-17.4821327390455,-0.00978512075925732,2.51551929639742
-14.8867252108451,0.142968437656487,2.5432888767195
-12.186550037369,0.293538373300582,2.51852589467665
-9.32542867340469,0.39614096203402,2.53920431898973
-6.4531560709446,0.447238844531087,2.53937792756819
-3.83816116118054,0.502409955912226,2.55679245677734
-1.27159647239509,0.52893554094307,2.5786238737504
1.31595316063895,0.526670100565292,2.63402041402626
3.7951946229959,0.498813388427373,2.70092406659081
6.04545686449426,0.476931896124125,2.7875427845024
8.33659881932945,0.428312084779695,2.89842543767732
10.5244969313377,0.373404023615233,2.99312533143518
12.7415863441373,0.3407633363072,3.07400496401474
14.7225504738803,0.305302440306251,3.16423355463557
16.6598442462485,0.276669319787437,3.22508135153931
18.3706495655549,0.258223302355394,3.29172063208159
19.816348149507,0.2381626340942,3.3135207909319
21.0648224530722,0.214618615013949,3.31998750056512
22.0783919811289,0.205281819291081,3.28202808154929
22.8697441372287,0.189983764062887,3.23616131512398
23.3310785076304,0.175257356795362,3.1762720994945
23.4656606558423,0.151684017523592,3.11730199476314
23.1868123958963,0.115595255383606,3.05434089550621
22.4674883729174,0.0862268725661953,2.99797910554358
21.1775090372321,0.0488531681418292,2.96080118062794
19.3090702440993,0.0544336380038427,2.94297501913343
17.1269952474631,0.0777823230406025,2.92628845253588
14.6778201956291,0.121966298420006,2.90444417417539
12.1649133637859,0.107912486448833,2.89652341380604
9.75473913879881,0.0805589200343209,2.87165578045654
7.34230050205441,0.0394259575113978,2.82938630547367
4.7911394492571,-0.0291340955021067,2.82639718001877
1.790121750611,-0.0281694858079287,2.82287958328167
-1.75809158003081,0.0519650130138863,2.7913066560513
-5.41032672986155,0.163450228900989,2.75219148806017
-8.85537035651445,0.236806155105507,2.70853578651928
-11.7906647261012,0.286485158493929,2.64980347393758
-14.5766721941748,0.324503690384738,2.60717862770605
-17.3298610892617,0.32469371139431,2.60454260756684
-20.1544870331543,0.323016147300673,2.56248975787847
-23.196851070959,0.294054474937005,2.53153684230918
-26.4522377846976,0.263844044520849,2.49739535491892
-29.8269138469471,0.242282948412113,2.49354446987114
-33.1326773475694,0.213768648975405,2.4369578993594
-36.0200273108309,0.157886498330279,2.39613636934513
-38.7315163890001,0.108998341226386,2.35427004040322
-41.3718841098387,0.0745297659250253,2.30898523205203
-43.9957142753994,0.0674684359721236,2.28220439694075
